=============Wed Jul 29 2020 15:43:04 GMT+1000 (Australian Eastern Standard Time)=============
SBUX,88.50,10.59
GOOG,2044.84,19.24
EPR,44.64,20.59
ZTS,207.27,21.78
QDEL,364.10,22.14
NEE,414.44,24.36
ANET,356.98,24.45
ICE,141.41,26.09
HAS,111.00,26.54
BAM,53.15,27.65
GMED,80.33,31.07
WD,83.51,32.08
AAPL,639.64,33.51
MTCH,170.57,34.15
CHDN,228.11,36.98
ZNGA,17.44,37.82
MA,563.59,37.88
MA,563.59,37.88
COUP,550.40,38.88
EA,271.04,43.41
MSFT,411.24,44.17
KNSL,335.40,44.31
CGNX,132.61,44.66
DPZ,794.47,44.94
LULU,679.74,46.30
NVDA,882.62,47.85
PYPL,384.08,48.39
FB,513.41,49.86
MKTX,1211.52,53.81
PAYC,712.25,56.52
GLOB,425.35,58.57
ATVI,216.20,61.22
TEAM,508.95,63.43
ASML,1073.66,65.13
TTD,1318.21,71.15
NOW,1477.94,75.99
STAA,207.17,81.14
STAA,207.17,81.14
AMZN,11564.00,83.83
DOCU,765.00,84.38
NFLX,2198.04,93.45
AMD,327.13,97.96
ZM,1284.89,101.17
ETSY,581.33,107.86
NTES,3767.35,131.99
JD,570.05,138.36
NVCR,708.92,146.02
SHOP,22838.69,195.32
TSLA,5505189.64,510.97
=============Sun Aug 02 2020 22:38:53 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.01,-15.86
DIS,116.35,0.37
MMM,169.50,6.72
SBUX,87.59,8.30
GOOG,2058.55,18.38
EPR,42.43,20.96
ZTS,209.21,21.04
QDEL,383.26,21.65
ANET,360.72,22.93
NEE,417.75,24.34
HAS,109.77,25.67
ICE,144.37,26.42
BAM,52.63,28.00
WD,80.63,29.47
GMED,82.47,31.18
AAPL,648.84,32.47
MTCH,177.33,34.15
CHDN,244.99,35.18
ZNGA,17.51,36.62
MA,563.04,37.28
MA,563.04,37.28
COUP,569.33,39.20
EA,277.06,43.04
MSFT,409.29,43.29
CGNX,132.62,43.38
KNSL,333.89,43.45
DPZ,782.67,44.16
LULU,681.15,46.23
NVDA,924.36,48.34
FB,516.14,49.02
MKTX,1208.22,52.80
GLOB,416.88,54.49
PAYC,703.69,55.83
ATVI,217.82,60.93
PYPL,533.27,63.31
TEAM,520.59,63.40
ASML,1012.51,63.78
TTD,1312.14,69.28
NOW,1478.85,76.55
STAA,219.26,81.50
STAA,219.26,81.50
DOCU,831.95,84.38
AMZN,12550.77,87.86
NFLX,2207.94,94.07
AMD,363.54,95.48
ZM,1272.17,101.09
ETSY,600.71,104.15
NTES,3760.92,131.75
JD,567.53,137.28
NVCR,798.39,145.99
SHOP,50161.03,240.30
TSLA,5505189.64,510.51
=============Sun Aug 02 2020 23:08:51 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.01,-15.86,11.657875529862098
DIS,116.35,0.37,17.016893236674722
MMM,169.50,6.72,18.36281037043474
SBUX,87.59,8.30,16.000887438289624
GOOG,2058.55,18.38,27.2955518044311
EPR,42.43,20.96,13.408068426472344
ZTS,209.21,21.04,19.11585990658612
QDEL,383.26,21.65,21.28159958486037
ANET,360.72,22.93,21.064738963424585
NEE,417.75,24.34,21.589843862177503
HAS,109.77,25.67,16.80854458092075
ICE,144.37,26.42,17.78873225542157
BAM,52.63,28.00,14.178866366373954
WD,80.63,29.47,15.704751276869798
GMED,82.47,31.18,15.785661905463556
AAPL,648.84,32.47,23.16505142503679
MTCH,177.33,34.15,18.52437435060497
CHDN,244.99,35.18,19.680610887098254
ZNGA,17.51,36.62,10.240936167828039
MA,563.04,37.28,22.657640186316282
MA,563.04,37.28,22.657640186316282
COUP,569.33,39.20,22.69735928808818
EA,277.06,43.04,20.12082628725084
MSFT,409.29,43.29,21.516682128520912
CGNX,132.62,43.38,17.48496003457568
KNSL,333.89,43.45,20.788239808354817
DPZ,782.67,44.16,23.835916436905997
LULU,681.15,46.23,23.338898843457738
NVDA,924.36,48.34,24.4311995360008
FB,516.14,49.02,22.346518345454903
MKTX,1208.22,52.80,25.389259034929626
GLOB,416.88,54.49,21.582433531625668
PAYC,703.69,55.83,23.455366439290096
ATVI,217.82,60.93,19.260102511378243
PYPL,533.27,63.31,22.463303192090297
TEAM,520.59,63.40,22.377231132195327
ASML,1012.51,63.78,24.757038248523635
TTD,1312.14,69.28,25.684444671217783
NOW,1478.85,76.55,26.112338426284754
STAA,219.26,81.50,19.28364632891422
DOCU,831.95,84.38,24.054375068135812
AMZN,12550.77,87.86,33.76290205497799
NFLX,2207.94,94.07,27.546181326288522
AMD,363.54,95.48,21.092651730249663
ZM,1272.17,101.09,25.57376177542533
ETSY,600.71,104.15,22.889333789622757
NTES,3760.92,131.75,29.451576225238966
JD,567.53,137.28,22.68603024493244
NVCR,798.39,145.99,23.907051460565555
SHOP,50161.03,240.30,38.7193878358915
TSLA,5505189.64,510.51,55.527282720748055
=============Sun Aug 02 2020 23:11:48 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.01,-15.86,6.466905848554061
DIS,116.35,0.37,28.92398586045614
MMM,169.50,6.72,42.135355958711486
SBUX,87.59,8.30,21.773057779029024
GOOG,2058.55,18.38,511.7323755316458
EPR,42.43,20.96,10.547812380583162
ZTS,209.21,21.04,52.00721864256019
QDEL,383.26,21.65,95.27414733689196
ANET,360.72,22.93,89.67040431470228
NEE,417.75,24.34,103.84715296539562
HAS,109.77,25.67,27.287610895153453
ICE,144.37,26.42,35.88856253463729
BAM,52.63,28.00,13.083801202855597
WD,80.63,29.47,20.043325258458115
GMED,82.47,31.18,20.50179917104543
AAPL,648.84,32.47,161.2939170401045
MTCH,177.33,34.15,44.081852446697624
CHDN,244.99,35.18,60.90065420772643
ZNGA,17.51,36.62,4.351973274980743
MA,563.04,37.28,139.96532477015148
MA,563.04,37.28,139.96532477015148
COUP,569.33,39.20,141.52793942292274
EA,277.06,43.04,68.87509424102724
MSFT,409.29,43.29,101.745
CGNX,132.62,43.38,32.967000000000006
KNSL,333.89,43.45,83.001
